id;start_session;stop_session;sex;service_category;customer_category;number_person;assesment
3602;2022-01-07 01:10:51;2022-01-07 01:15:48;Female;med_service;individual;3;3
6029;2022-01-07 01:15:48;2022-01-07 01:16:20;Male;med_service;individual;1;3
2383;2022-01-07 01:16:20;2022-01-07 01:21:42;Female;info;individual;0;5
2557;2022-01-07 06:09:38;2022-01-07 06:31:06;Female;med_service;individual;2;2
3687;2022-01-07 06:31:06;2022-01-07 06:33:08;Male;med_service;individual;-1;1
1244;2022-01-07 06:33:08;2022-01-07 06:43:45;Male;med_service;individual;5;3
2786;2022-01-07 16:49:28;2022-01-07 17:45:49;Female;med_service;individual;5;1
825;2022-01-07 18:01:52;2022-01-07 18:10:29;Female;med_service;individual;3;3
1156;2022-01-07 20:32:32;2022-01-07 20:32:46;Male;med_service;individual;4;1
990;2022-01-07 21:30:27;2022-01-07 21:42:00;Male;med_service;individual;3;1
8605;2022-01-07 23:08:18;2022-01-07 23:11:32;Male;med_service;individual;-1;1
3048;2022-01-08 02:36:38;2022-01-08 02:39:04;Male;med_service;individual;3;3
9659;2022-01-08 05:58:53;2022-01-08 06:02:04;Female;med_service;individual;3;1
1622;2022-01-08 07:40:52;2022-01-08 07:41:06;Female;med_service;individual;5;2
3712;2022-01-08 08:25:54;2022-01-08 08:29:10;Male;info;individual;0;5
8597;2022-01-08 09:43:59;2022-01-08 09:52:10;Female;med_service;individual;5;5
5572;2022-01-08 09:43:59;2022-01-08 10:20:38;Male;med_service;individual;2;3
399;2022-01-08 09:52:10;2022-01-08 10:04:19;Female;med_service;individual;3;1
9620;2022-01-08 10:46:05;2022-01-08 10:49:56;Male;med_service;individual;3;1
3859;2022-01-08 10:55:16;2022-01-08 10:59:50;Female;med_service;individual;3;2
3397;2022-01-08 11:58:41;2022-01-08 12:02:56;Female;med_service;individual;2;5
9867;2022-01-08 11:58:41;2022-01-08 12:13:28;Female;med_service;individual;4;4
7087;2022-01-08 12:25:43;2022-01-08 12:30:35;Male;med_service;individual;4;3
2450;2022-01-08 12:59:47;2022-01-08 13:35:00;Female;med_service;individual;4;4
44;2022-01-08 12:59:47;2022-01-09 00:03:22;Male;med_service;The business;37;2
6465;2022-01-08 13:35:00;2022-01-08 13:36:22;Female;med_service;individual;2;1
1524;2022-01-08 13:36:22;2022-01-08 14:12:03;Male;med_service;The business;23;4
5033;2022-01-08 14:12:03;2022-01-08 15:15:19;Male;med_service;individual;5;3
9870;2022-01-08 15:15:19;2022-01-08 15:19:50;Male;med_service;individual;4;4
5259;2022-01-08 15:19:50;2022-01-08 15:24:59;Male;med_service;individual;5;3
1272;2022-01-08 15:24:59;2022-01-08 15:27:18;Male;med_service;individual;2;4
6823;2022-01-08 15:27:18;2022-01-08 15:28:49;Female;med_service;individual;4;3
5864;2022-01-08 15:28:49;2022-01-08 15:29:31;Male;info;individual;0;5
8233;2022-01-08 15:29:31;2022-01-08 16:07:14;Male;med_service;individual;5;4
9765;2022-01-08 16:07:14;2022-01-08 16:07:29;Male;med_service;individual;2;3
7597;2022-01-08 16:07:29;2022-01-08 16:13:39;Female;med_service;individual;3;2
9404;2022-01-08 16:07:29;2022-01-08 16:22:27;Male;med_service;individual;4;5
9109;2022-01-08 16:22:27;2022-01-08 16:23:02;Female;med_service;individual;5;4
7317;2022-01-08 16:23:02;2022-01-08 16:23:25;Female;med_service;individual;1;2
7470;2022-01-08 16:23:25;2022-01-08 16:27:42;Male;med_service;individual;3;1
523;2022-01-08 16:23:25;2022-01-08 17:10:46;Male;med_service;individual;5;4
3392;2022-01-08 16:27:42;2022-01-08 16:40:34;Male;med_service;individual;3;1
7638;2022-01-08 16:40:34;2022-01-08 16:41:40;Male;info;individual;0;2
7337;2022-01-08 17:10:46;2022-01-08 17:12:01;Male;med_service;individual;5;4
6240;2022-01-08 17:12:01;2022-01-08 17:13:39;Male;med_service;individual;4;4
7884;2022-01-09 03:21:54;2022-01-09 03:49:55;Male;med_service;individual;5;3
6653;2022-01-09 05:18:38;2022-01-09 05:22:39;Male;med_service;individual;2;3
2875;2022-01-09 05:36:06;2022-01-09 05:36:58;Female;med_service;individual;1;5
3245;2022-01-09 05:44:27;2022-01-09 05:44:30;Female;med_service;individual;-1;4
6477;2022-01-09 05:44:27;2022-01-09 06:33:56;Male;med_service;individual;5;2
1624;2022-01-09 06:38:37;2022-01-09 06:50:10;Male;med_service;individual;2;1
932;2022-01-09 06:38:37;2022-01-09 07:08:58;Female;med_service;individual;2;1
6743;2022-01-09 09:38:17;2022-01-09 09:40:12;Female;med_service;individual;2;4
5405;2022-01-09 09:57:24;2022-01-09 10:10:08;Female;med_service;The business;21;3
8015;2022-01-09 12:27:40;2022-01-09 12:39:45;Female;med_service;individual;5;2
6067;2022-01-09 12:27:40;2022-01-09 12:52:31;Male;med_service;individual;4;1
1088;2022-01-09 13:08:14;2022-01-09 13:08:56;Female;med_service;individual;3;5
8544;2022-01-09 13:18:28;2022-01-09 13:19:03;Female;med_service;individual;5;1
3796;2022-01-09 16:12:47;2022-01-09 16:36:42;Male;med_service;individual;5;2
9790;2022-01-09 17:22:33;2022-01-09 17:53:28;Female;med_service;individual;3;2
912;2022-01-09 20:02:30;2022-01-09 20:02:36;Male;med_service;individual;4;3
376;2022-01-10 00:07:40;2022-01-10 00:10:40;Female;med_service;individual;5;3
3674;2022-01-10 06:17:29;2022-01-10 06:19:10;Male;med_service;individual;2;5
8573;2022-01-10 07:43:57;2022-01-10 07:56:07;Female;med_service;individual;4;5
1874;2022-01-10 09:12:55;2022-01-10 09:54:15;Female;med_service;The business;28;1
2165;2022-01-10 11:24:39;2022-01-10 11:43:46;Male;med_service;individual;1;4
4324;2022-01-10 21:06:09;2022-01-10 21:18:43;Female;med_service;individual;2;1
5661;2022-01-11 03:09:47;2022-01-11 03:17:21;Female;info;individual;0;1
4852;2022-01-11 04:51:35;2022-01-11 04:58:11;Male;med_service;individual;2;5
9318;2022-01-11 09:15:00;2022-01-11 09:44:14;Male;med_service;individual;5;2
9105;2022-01-11 10:55:44;2022-01-11 10:56:51;Female;med_service;individual;2;5
2068;2022-01-11 12:46:26;2022-01-11 12:55:58;Female;med_service;individual;3;2
2137;2022-01-11 12:46:26;2022-01-11 13:09:30;Female;med_service;individual;5;1
8257;2022-01-11 17:38:59;2022-01-11 17:41:32;Female;med_service;individual;1;5
217;2022-01-11 18:07:35;2022-01-11 18:11:23;Male;info;individual;-1;4
6244;2022-01-11 21:03:25;2022-01-11 21:06:37;Female;info;individual;0;1
2031;2022-01-11 22:31:43;2022-01-11 22:37:23;Male;med_service;individual;2;3
937;2022-01-12 01:34:07;2022-01-12 01:42:31;Male;med_service;individual;4;4
1077;2022-01-12 02:48:23;2022-01-12 02:56:03;Female;info;individual;0;3
6914;2022-01-12 04:43:22;2022-01-12 04:45:20;Female;med_service;individual;2;2
9283;2022-01-12 05:11:14;2022-01-12 05:12:23;Female;med_service;individual;4;4
9144;2022-01-12 05:35:58;2022-01-12 05:38:41;Male;med_service;individual;2;3
1448;2022-01-12 05:43:51;2022-01-12 05:52:03;Female;med_service;individual;3;5
8656;2022-01-12 06:45:22;2022-01-12 07:05:13;Female;med_service;individual;3;2
2001;2022-01-12 10:38:45;2022-01-12 10:41:01;Female;med_service;individual;3;1
6144;2022-01-12 10:38:45;2022-01-12 11:32:50;Female;med_service;The business;42;3
8065;2022-01-12 13:32:40;2022-01-12 13:37:00;Female;med_service;individual;1;2
5671;2022-01-12 13:47:42;2022-01-12 13:49:34;Female;med_service;individual;1;1
5492;2022-01-12 13:52:35;2022-01-12 13:53:08;Female;med_service;individual;5;5
727;2022-01-12 16:17:33;2022-01-12 16:20:17;Male;med_service;individual;-1;4
3856;2022-01-13 00:15:39;2022-01-13 00:30:37;Male;med_service;individual;4;3
7901;2022-01-13 00:44:28;2022-01-13 01:27:11;Female;med_service;individual;3;3
6024;2022-01-13 03:06:28;2022-01-13 03:07:47;Female;info;individual;-1;4
5211;2022-01-13 06:27:59;2022-01-13 06:42:03;Female;med_service;individual;5;4
6559;2022-01-13 07:15:17;2022-01-13 07:22:04;Male;med_service;individual;4;2
1975;2022-01-13 07:34:37;2022-01-13 07:37:29;Male;med_service;individual;1;2
2709;2022-01-13 08:42:44;2022-01-13 08:48:03;Female;med_service;individual;2;3
1301;2022-01-13 18:42:35;2022-01-13 18:45:23;Female;med_service;individual;4;4
3823;2022-01-13 19:51:47;2022-01-13 20:00:58;Male;med_service;individual;5;1
6211;2022-01-14 02:04:37;2022-01-14 02:11:51;Female;med_service;individual;5;1
1912;2022-01-14 03:29:53;2022-01-14 03:32:06;Female;med_service;individual;1;5
1046;2022-01-14 06:24:19;2022-01-14 06:31:46;Male;med_service;individual;5;4
2566;2022-01-14 06:46:49;2022-01-14 06:50:14;Male;info;individual;0;4
5409;2022-01-14 07:37:21;2022-01-14 07:43:01;Female;med_service;individual;5;3
7880;2022-01-14 08:31:11;2022-01-14 08:34:33;Female;med_service;individual;5;1
4768;2022-01-14 11:12:13;2022-01-14 11:13:24;Male;med_service;individual;3;5
5985;2022-01-14 12:54:36;2022-01-14 12:59:15;Female;med_service;individual;4;2
336;2022-01-14 13:38:16;2022-01-14 13:39:50;Female;info;individual;0;2
9045;2022-01-14 13:38:16;2022-01-14 13:43:35;Female;med_service;individual;2;2
2491;2022-01-14 14:18:46;2022-01-14 14:23:04;Male;med_service;individual;4;2
7414;2022-01-14 15:14:22;2022-01-14 15:53:58;Female;med_service;individual;5;4
7075;2022-01-14 16:14:50;2022-01-14 16:28:15;Male;med_service;individual;5;5
4953;2022-01-14 16:14:50;2022-01-14 16:56:14;Female;med_service;The business;36;1
4233;2022-01-14 19:43:44;2022-01-14 19:44:23;Female;med_service;individual;2;5
2567;2022-01-14 20:39:36;2022-01-14 20:40:15;Female;med_service;individual;1;1
5259;2022-01-14 20:39:36;2022-01-14 20:50:14;Female;info;individual;-1;3
5587;2022-01-14 23:57:47;2022-01-15 00:16:51;Female;med_service;individual;2;3
9258;2022-01-15 02:19:02;2022-01-15 02:28:10;Female;med_service;individual;3;4
3859;2022-01-15 04:28:06;2022-01-15 04:28:45;Female;med_service;individual;-1;4
3285;2022-01-15 05:28:40;2022-01-15 05:42:06;Female;med_service;individual;4;4
6095;2022-01-15 14:43:05;2022-01-15 14:45:20;Male;med_service;individual;3;4
5093;2022-01-15 15:29:51;2022-01-15 15:51:24;Male;med_service;individual;4;5
2207;2022-01-16 09:19:59;2022-01-16 09:21:24;Female;info;individual;0;1
6111;2022-01-16 12:19:30;2022-01-16 12:29:02;Male;med_service;individual;4;3
6385;2022-01-16 18:54:43;2022-01-16 18:56:12;Male;med_service;individual;3;2
4237;2022-01-16 18:54:43;2022-01-16 19:14:35;Male;med_service;individual;3;2
1195;2022-01-16 22:54:22;2022-01-16 23:21:28;Male;med_service;individual;5;4
5942;2022-01-17 04:25:25;2022-01-17 04:38:17;Male;med_service;individual;4;3
203;2022-01-17 09:41:09;2022-01-17 09:43:43;Female;med_service;individual;2;2
721;2022-01-17 10:24:33;2022-01-17 10:37:04;Female;info;individual;0;2
2984;2022-01-17 20:54:13;2022-01-17 20:54:58;Male;info;individual;0;5
349;2022-01-17 22:13:59;2022-01-17 22:17:06;Female;med_service;individual;3;1
644;2022-01-18 00:17:25;2022-01-18 00:22:38;Female;med_service;individual;1;4
7308;2022-01-18 01:44:56;2022-01-18 02:07:13;Female;med_service;individual;5;2
1760;2022-01-18 02:41:31;2022-01-18 02:43:42;Male;info;individual;0;2
1409;2022-01-18 04:42:19;2022-01-18 04:44:21;Male;info;individual;0;3
3795;2022-01-18 09:43:12;2022-01-18 09:44:20;Female;info;individual;0;1
884;2022-01-18 09:43:12;2022-01-18 15:23:42;Male;med_service;The business;49;2
4758;2022-01-18 09:44:20;2022-01-18 10:22:29;Female;med_service;individual;4;3
5726;2022-01-18 10:22:29;2022-01-18 10:30:50;Male;med_service;individual;4;5
8881;2022-01-18 10:30:50;2022-01-18 10:31:51;Female;med_service;individual;1;1
4955;2022-01-18 10:31:51;2022-01-18 10:36:21;Female;med_service;individual;5;1
4092;2022-01-18 10:36:21;2022-01-18 10:43:47;Female;med_service;individual;-1;3
267;2022-01-18 10:43:47;2022-01-18 10:50:01;Female;med_service;individual;3;5
9523;2022-01-18 10:43:47;2022-01-18 11:37:51;Female;med_service;The business;26;5
9268;2022-01-18 11:37:51;2022-01-18 11:52:03;Female;med_service;individual;5;1
912;2022-01-18 11:52:03;2022-01-18 11:58:29;Female;med_service;individual;3;5
1551;2022-01-18 15:49:19;2022-01-18 15:50:50;Male;med_service;individual;1;5
6012;2022-01-18 16:29:33;2022-01-18 16:37:44;Female;med_service;individual;1;2
5995;2022-01-18 18:34:38;2022-01-18 18:38:28;Male;med_service;individual;2;3
8842;2022-01-18 20:37:32;2022-01-18 20:57:33;Female;med_service;individual;3;1
9258;2022-01-19 00:30:58;2022-01-19 00:31:20;Male;med_service;individual;-1;5
1673;2022-01-19 00:53:20;2022-01-19 01:17:41;Female;med_service;individual;4;3
5336;2022-01-19 02:23:30;2022-01-19 02:39:10;Male;med_service;individual;1;4
7386;2022-01-19 02:58:02;2022-01-19 03:09:58;Female;med_service;individual;5;5
7790;2022-01-19 05:40:25;2022-01-19 05:49:02;Male;med_service;individual;2;1
9786;2022-01-19 06:09:05;2022-01-19 06:44:14;Female;med_service;individual;5;4
8864;2022-01-19 06:09:05;2022-01-19 20:34:46;Female;med_service;The business;42;2
4080;2022-01-19 06:44:14;2022-01-19 07:02:29;Female;med_service;individual;4;4
2103;2022-01-19 07:02:29;2022-01-19 07:05:37;Female;med_service;individual;5;2
8610;2022-01-19 07:05:37;2022-01-19 07:17:17;Male;med_service;individual;4;1
9363;2022-01-19 07:05:37;2022-01-19 09:03:48;Female;med_service;The business;45;1
7762;2022-01-19 09:03:48;2022-01-19 09:06:49;Male;med_service;individual;3;4
6287;2022-01-19 09:06:49;2022-01-19 09:10:39;Female;med_service;individual;2;5
6272;2022-01-19 09:10:39;2022-01-19 09:23:28;Male;med_service;individual;1;2
5725;2022-01-19 09:23:28;2022-01-19 09:36:05;Male;med_service;individual;5;5
3830;2022-01-19 09:36:05;2022-01-19 09:38:47;Female;med_service;individual;5;2
427;2022-01-19 09:38:47;2022-01-19 09:44:10;Male;med_service;individual;5;2
9019;2022-01-19 20:40:24;2022-01-19 20:50:11;Female;med_service;individual;3;3
2168;2022-01-19 21:33:54;2022-01-19 21:37:08;Male;med_service;individual;1;4
4284;2022-01-20 01:10:09;2022-01-20 01:12:08;Male;med_service;individual;2;3
8244;2022-01-20 01:10:09;2022-01-20 01:42:12;Female;med_service;individual;2;3
1359;2022-01-20 04:13:08;2022-01-20 04:19:57;Male;med_service;individual;2;1
232;2022-01-20 17:10:35;2022-01-20 17:23:08;Male;med_service;individual;4;2
1809;2022-01-20 22:16:51;2022-01-20 22:17:50;Female;med_service;individual;3;5
9829;2022-01-20 23:40:13;2022-01-21 00:13:14;Female;med_service;The business;27;4
9852;2022-01-21 00:50:49;2022-01-21 00:55:14;Male;med_service;individual;-1;2
809;2022-01-21 01:28:54;2022-01-21 01:30:57;Female;med_service;individual;4;5
3858;2022-01-21 01:28:54;2022-01-21 02:36:08;Male;med_service;individual;5;3
7648;2022-01-21 01:28:54;2022-01-21 03:16:57;Male;med_service;The business;39;2
5883;2022-01-21 01:30:57;2022-01-21 01:53:48;Male;med_service;individual;3;3
4520;2022-01-21 01:53:48;2022-01-21 01:56:43;Female;med_service;individual;5;2
2654;2022-01-21 05:20:43;2022-01-21 05:35:53;Male;med_service;individual;3;1
5340;2022-01-21 12:58:06;2022-01-21 13:03:21;Male;med_service;individual;5;2
8487;2022-01-21 12:58:06;2022-01-21 15:55:09;Female;med_service;The business;39;2
3142;2022-01-21 17:02:15;2022-01-21 17:09:58;Female;med_service;individual;5;2
1438;2022-01-21 17:02:15;2022-01-21 18:41:41;Female;med_service;individual;5;4
8995;2022-01-21 21:31:42;2022-01-21 21:37:37;Female;med_service;individual;4;1
9;2022-01-22 04:34:27;2022-01-22 05:05:42;Male;med_service;individual;5;3
7526;2022-01-22 06:52:06;2022-01-22 07:00:09;Female;med_service;individual;1;1
7896;2022-01-22 09:24:49;2022-01-22 09:28:02;Female;med_service;individual;-1;4
1329;2022-01-22 11:32:19;2022-01-22 11:49:19;Male;med_service;individual;2;2
3143;2022-01-22 12:28:48;2022-01-22 12:29:05;Female;info;individual;0;3
5321;2022-01-22 17:53:25;2022-01-22 18:01:38;Male;med_service;individual;5;2
8592;2022-01-23 01:12:26;2022-01-23 01:22:40;Male;med_service;individual;2;1
3531;2022-01-23 06:03:52;2022-01-23 06:16:08;Female;med_service;individual;2;5
2968;2022-01-23 06:24:09;2022-01-23 06:44:45;Male;med_service;individual;5;1
5926;2022-01-23 08:21:38;2022-01-23 08:24:58;Female;info;individual;-1;3
3986;2022-01-23 09:10:54;2022-01-23 09:26:42;Male;med_service;The business;40;4
2114;2022-01-23 09:10:54;2022-01-23 15:38:45;Female;med_service;The business;40;4
6424;2022-01-23 09:26:42;2022-01-23 09:35:30;Male;med_service;individual;-1;5
2253;2022-01-23 09:35:30;2022-01-23 09:36:38;Male;info;individual;-1;5
8189;2022-01-23 09:36:38;2022-01-23 09:50:47;Female;med_service;individual;5;3
6253;2022-01-23 09:50:47;2022-01-23 09:52:34;Male;med_service;individual;2;5
9566;2022-01-23 09:52:34;2022-01-23 09:52:50;Female;med_service;individual;3;1
1903;2022-01-23 09:52:50;2022-01-23 09:57:59;Male;med_service;individual;2;1
1021;2022-01-23 09:52:50;2022-01-23 10:30:20;Female;med_service;individual;4;1
6863;2022-01-23 09:52:50;2022-01-23 11:11:57;Male;med_service;individual;5;3
4079;2022-01-23 09:57:59;2022-01-23 22:32:06;Male;med_service;The business;49;2
5217;2022-01-23 10:30:20;2022-01-23 10:32:31;Female;med_service;individual;3;5
6376;2022-01-23 11:11:57;2022-01-23 11:22:08;Female;med_service;individual;2;1
3488;2022-01-23 11:22:08;2022-01-23 11:22:51;Male;med_service;individual;2;1
8783;2022-01-23 11:22:51;2022-01-23 11:28:36;Female;info;individual;-1;5
5548;2022-01-23 11:28:36;2022-01-23 11:35:31;Female;med_service;individual;2;1
7823;2022-01-23 15:38:45;2022-01-23 15:43:16;Female;med_service;individual;5;4
1438;2022-01-23 15:43:16;2022-01-23 15:43:56;Male;med_service;individual;1;3
1228;2022-01-23 15:43:56;2022-01-23 15:55:58;Male;med_service;individual;3;4
6560;2022-01-23 15:55:58;2022-01-23 15:57:50;Female;med_service;individual;2;4
3930;2022-01-23 15:57:50;2022-01-23 16:02:40;Female;med_service;individual;2;3
4222;2022-01-23 16:02:40;2022-01-23 16:25:52;Male;med_service;individual;5;5
4633;2022-01-23 16:25:52;2022-01-23 16:28:59;Male;med_service;individual;3;3
9726;2022-01-23 16:28:59;2022-01-23 16:35:29;Female;med_service;individual;2;2
451;2022-01-23 16:35:29;2022-01-23 16:35:30;Male;med_service;individual;5;4
8960;2022-01-23 16:35:30;2022-01-23 16:36:01;Female;med_service;individual;2;4
1304;2022-01-23 16:36:01;2022-01-23 16:36:16;Female;med_service;individual;2;1
3060;2022-01-23 16:36:16;2022-01-23 16:49:30;Female;med_service;individual;2;3
3891;2022-01-23 16:49:30;2022-01-23 16:49:42;Female;med_service;individual;1;5
4901;2022-01-23 16:49:30;2022-01-23 17:15:57;Male;med_service;individual;4;4
1839;2022-01-23 17:15:57;2022-01-23 17:32:50;Male;med_service;individual;4;2
854;2022-01-23 17:15:57;2022-01-24 05:19:29;Female;med_service;The business;37;5
7710;2022-01-23 17:32:50;2022-01-23 17:36:50;Female;info;individual;-1;4
5642;2022-01-23 17:36:50;2022-01-23 17:43:16;Male;med_service;individual;4;5
7650;2022-01-23 17:43:16;2022-01-23 17:43:34;Male;info;individual;0;1
2200;2022-01-23 17:43:34;2022-01-23 17:45:01;Male;med_service;individual;1;2
972;2022-01-23 22:32:06;2022-01-23 22:36:07;Male;med_service;individual;4;4
7034;2022-01-23 22:36:07;2022-01-23 22:39:46;Male;med_service;individual;2;1
1793;2022-01-23 22:36:07;2022-01-23 22:48:25;Female;med_service;individual;5;2
5908;2022-01-23 22:48:25;2022-01-23 22:53:23;Male;med_service;individual;2;4
4161;2022-01-23 22:53:23;2022-01-23 23:10:44;Female;med_service;individual;2;1
8629;2022-01-23 23:10:44;2022-01-23 23:17:37;Female;med_service;individual;3;4
5088;2022-01-23 23:17:37;2022-01-23 23:24:44;Female;med_service;individual;3;2
9687;2022-01-23 23:24:44;2022-01-23 23:30:34;Male;med_service;individual;5;3
4834;2022-01-23 23:30:34;2022-01-23 23:41:19;Male;info;individual;-1;5
7435;2022-01-23 23:41:19;2022-01-23 23:46:57;Male;info;individual;0;1
1075;2022-01-24 06:13:40;2022-01-24 06:20:34;Male;med_service;individual;4;1
7513;2022-01-24 08:24:48;2022-01-24 08:27:16;Female;med_service;individual;2;3
3035;2022-01-24 11:07:59;2022-01-24 11:17:11;Male;med_service;individual;3;4
2825;2022-01-24 14:39:04;2022-01-24 14:39:41;Male;med_service;individual;3;2
6237;2022-01-24 15:15:21;2022-01-24 15:26:03;Female;med_service;individual;5;3
6407;2022-01-24 17:11:52;2022-01-24 17:20:05;Male;med_service;individual;4;3
7596;2022-01-24 20:46:57;2022-01-24 20:51:19;Female;med_service;individual;3;4
