id;start_session;stop_session;sex;travel_country;number_of_travalers;travel_date;consultation;website_page;cons_duration;travel_amount
4335545;2022-01-03 12:48:42.101106;2022-01-03 15:22:28.205135;1;Italy;2;PASS;PASS;PASS;PASS;228000.0
8579183;2022-01-03 15:36:41.405728;2022-01-03 19:54:17.041412;1;Kazakhstan;2;PASS;PASS;PASS;PASS;119000.0
597074;2022-01-03 21:34:27.226573;2022-01-03 22:27:26.147362;1;United Arab Emirates;2;PASS;PASS;PASS;PASS;220500.0
2487917;2022-01-03 07:27:43.845516;2022-01-04 00:49:58.187436;0;Russia;1;PASS;PASS;PASS;PASS;34000.0
7066760;2022-01-03 14:00:06.528951;2022-01-04 04:46:41.446249;1;Russia;2;PASS;PASS;PASS;PASS;60800.0
9760595;2022-01-04 06:27:07.865917;2022-01-04 07:40:46.947176;0;Italy;5;PASS;PASS;PASS;PASS;735000.0
1713271;2022-01-04 10:51:55.466167;2022-01-04 13:10:30.165970;1;Russia;2;PASS;PASS;PASS;PASS;78400.0
1691362;2022-01-04 16:38:13.205719;2022-01-04 22:19:36.598232;0;Thailand;4;PASS;PASS;PASS;PASS;584800.0
4541980;2022-01-04 23:14:52.778163;2022-01-04 23:42:55.576818;1;United Arab Emirates;4;PASS;PASS;PASS;PASS;552720.0
7130810;2022-01-05 03:17:27.057957;2022-01-05 04:43:56.593009;0;Thailand;4;PASS;PASS;PASS;PASS;652800.0
8425287;2022-01-05 07:09:00.743096;2022-01-05 07:23:30.591009;0;Thailand;2;PASS;PASS;PASS;PASS;326400.0
2561963;2022-01-04 17:25:05.172952;2022-01-05 11:55:50.302459;0;United Arab Emirates;2;PASS;PASS;PASS;PASS;255780.0
6183379;2022-01-05 12:35:08.354020;2022-01-05 13:38:04.288873;0;Thailand;2;PASS;PASS;PASS;PASS;285600.0
4570831;2022-01-05 12:00:06.454716;2022-01-05 15:03:22.857648;1;Russia;3;PASS;PASS;PASS;PASS;87600.0
4074037;2022-01-04 11:37:57.633648;2022-01-05 19:41:13.822490;1;Russia;2;PASS;PASS;PASS;PASS;78400.0
9040434;2022-01-05 23:43:47.579846;2022-01-06 01:03:38.405641;0;United Arab Emirates;2;PASS;PASS;PASS;PASS;264600.0
7824208;2022-01-05 22:56:31.788033;2022-01-06 04:42:47.972228;0;United Arab Emirates;4;PASS;PASS;PASS;PASS;511560.0
6332858;2022-01-06 06:17:15.707110;2022-01-06 06:59:25.765282;0;United Arab Emirates;5;PASS;PASS;PASS;PASS;588000.0
1277704;2022-01-06 07:35:04.825649;2022-01-06 07:40:10.591668;1;Kazakhstan;1;PASS;PASS;PASS;PASS;64400.0
4803627;2022-01-06 08:39:08.645519;2022-01-06 11:09:30.572067;1;Thailand;1;PASS;PASS;PASS;PASS;134300.0
2897919;2022-01-06 13:52:48.024947;2022-01-06 15:48:55.137347;0;Kazakhstan;5;PASS;PASS;PASS;PASS;304500.0
5578748;2022-01-05 22:48:51.579478;2022-01-06 19:32:17.413717;1;Dominican Republic;2;PASS;PASS;PASS;PASS;201600.0
9344433;2022-01-06 01:34:14.246365;2022-01-07 00:50:05.139890;0;Italy;2;PASS;PASS;PASS;PASS;300000.0
933858;2022-01-07 01:05:39.345858;2022-01-07 04:55:03.937548;1;Dominican Republic;4;PASS;PASS;PASS;PASS;388800.0
5610782;2022-01-07 14:42:55.139140;2022-01-08 00:37:00.538013;1;Dominican Republic;3;PASS;PASS;PASS;PASS;284400.0
4419220;2022-01-08 02:51:21.055922;2022-01-08 06:04:49.931713;0;Italy;4;PASS;PASS;PASS;PASS;492000.0
5886151;2022-01-08 10:26:18.016473;2022-01-08 11:03:49.178916;0;Italy;3;PASS;PASS;PASS;PASS;378000.0
140740;2022-01-08 13:55:32.568522;2022-01-08 16:12:46.276175;0;Russia;5;PASS;PASS;PASS;PASS;160000.0
6320641;2022-01-08 17:13:33.776624;2022-01-08 22:46:43.408026;1;Russia;4;PASS;PASS;PASS;PASS;153600.0
4439950;2022-01-08 23:47:46.999033;2022-01-09 00:49:23.524977;1;United Arab Emirates;3;PASS;PASS;PASS;PASS;441000.0
9868009;2022-01-09 05:04:08.144359;2022-01-09 06:07:57.027005;1;Kazakhstan;1;PASS;PASS;PASS;PASS;57400.0
9536612;2022-01-07 11:47:51.717379;2022-01-09 17:15:11.060816;0;Kazakhstan;3;PASS;PASS;PASS;PASS;201600.0
3461544;2022-01-09 20:08:46.559656;2022-01-09 20:50:32.227091;1;Kazakhstan;1;PASS;PASS;PASS;PASS;69300.0
3530024;2022-01-07 14:19:31.706674;2022-01-10 02:08:27.475001;0;Thailand;2;PASS;PASS;PASS;PASS;306000.0
1673979;2022-01-09 07:21:46.391332;2022-01-10 08:16:10.935089;0;United Arab Emirates;1;PASS;PASS;PASS;PASS;133770.0
6335772;2022-01-10 09:08:00.678152;2022-01-10 11:04:56.052844;0;Thailand;1;PASS;PASS;PASS;PASS;146200.0
9305486;2022-01-10 16:17:26.602477;2022-01-10 17:42:22.255702;0;Thailand;3;PASS;PASS;PASS;PASS;382500.0
3934770;2022-01-10 16:46:39.725140;2022-01-10 19:22:22.832901;1;Italy;5;PASS;PASS;PASS;PASS;600000.0
1373127;2022-01-10 13:54:26.215289;2022-01-10 23:48:26.236806;1;Thailand;3;PASS;PASS;PASS;PASS;408000.0
7650863;2022-01-11 01:57:03.356789;2022-01-11 03:58:40.848631;1;Russia;3;PASS;PASS;PASS;PASS;87600.0
5016051;2022-01-11 04:05:26.952240;2022-01-11 04:06:43.715071;1;Dominican Republic;3;PASS;PASS;PASS;PASS;345600.0
3008595;2022-01-11 06:00:31.861637;2022-01-11 06:58:06.635677;0;Thailand;1;PASS;PASS;PASS;PASS;124100.0
7142910;2022-01-11 04:34:29.699322;2022-01-11 08:47:29.535234;1;Kazakhstan;2;PASS;PASS;PASS;PASS;123200.0
5160672;2022-01-11 10:20:40.339251;2022-01-11 12:08:49.060992;1;United Arab Emirates;5;PASS;PASS;PASS;PASS;624750.0
1433844;2022-01-11 14:30:59.465612;2022-01-11 15:34:24.837087;0;Dominican Republic;4;PASS;PASS;PASS;PASS;388800.0
4946267;2022-01-11 16:02:25.749707;2022-01-11 17:04:31.993912;0;Kazakhstan;5;PASS;PASS;PASS;PASS;301000.0
9390818;2022-01-11 18:18:00.217231;2022-01-11 20:11:25.143400;1;Russia;3;PASS;PASS;PASS;PASS;91200.0
7568358;2022-01-12 00:11:07.162670;2022-01-12 00:54:59.784831;1;Kazakhstan;3;PASS;PASS;PASS;PASS;155400.0
5663408;2022-01-12 03:02:21.598325;2022-01-12 05:31:06.906039;1;Italy;1;PASS;PASS;PASS;PASS;118500.0
6852413;2022-01-12 06:37:11.499028;2022-01-12 07:02:49.195475;0;United Arab Emirates;2;PASS;PASS;PASS;PASS;273420.0
4527958;2022-01-12 07:05:15.984746;2022-01-12 07:16:44.323189;1;United Arab Emirates;3;PASS;PASS;PASS;PASS;335160.0
3506255;2022-01-12 07:17:15.386848;2022-01-12 07:39:43.235066;0;Dominican Republic;2;PASS;PASS;PASS;PASS;206400.0
4413423;2022-01-12 03:24:51.448693;2022-01-12 10:13:40.062907;0;Thailand;5;PASS;PASS;PASS;PASS;790500.0
4725633;2022-01-11 21:50:36.045061;2022-01-12 14:03:16.190904;1;Dominican Republic;4;PASS;PASS;PASS;PASS;388800.0
6857611;2022-01-12 15:43:55.295042;2022-01-12 18:29:13.018847;1;Russia;5;PASS;PASS;PASS;PASS;186000.0
8494264;2022-01-12 19:53:09.863033;2022-01-12 21:35:00.943249;0;Kazakhstan;5;PASS;PASS;PASS;PASS;255500.0
8699871;2022-01-13 01:14:56.548821;2022-01-13 04:27:38.460636;0;Italy;4;PASS;PASS;PASS;PASS;570000.0
5724232;2022-01-12 23:52:49.511141;2022-01-13 09:18:59.564900;1;Dominican Republic;4;PASS;PASS;PASS;PASS;436800.0
83051;2022-01-13 09:35:55.818654;2022-01-13 12:19:53.700223;0;Dominican Republic;4;PASS;PASS;PASS;PASS;451200.0
4425242;2022-01-13 12:58:22.071996;2022-01-13 15:27:07.284586;1;Russia;2;PASS;PASS;PASS;PASS;78400.0
5628194;2022-01-13 15:57:35.142536;2022-01-13 16:49:02.599676;0;Thailand;4;PASS;PASS;PASS;PASS;496400.0
5086699;2022-01-13 19:57:33.180301;2022-01-14 01:01:38.578792;1;Russia;1;PASS;PASS;PASS;PASS;31200.0
7319238;2022-01-14 04:01:47.430214;2022-01-14 04:06:23.995910;1;Kazakhstan;2;PASS;PASS;PASS;PASS;119000.0
4493484;2022-01-14 06:06:33.104638;2022-01-14 15:24:34.852530;0;Italy;5;PASS;PASS;PASS;PASS;547500.0
3924421;2022-01-14 18:52:01.101211;2022-01-14 19:08:53.054350;1;Russia;5;PASS;PASS;PASS;PASS;196000.0
8705589;2022-01-14 19:12:46.509426;2022-01-14 21:42:00.636506;1;United Arab Emirates;1;PASS;PASS;PASS;PASS;135240.0
454197;2022-01-13 05:09:27.055466;2022-01-15 01:51:47.253582;0;Kazakhstan;3;PASS;PASS;PASS;PASS;176400.0
8216952;2022-01-15 02:14:23.199699;2022-01-15 04:31:17.384017;1;Dominican Republic;5;PASS;PASS;PASS;PASS;474000.0
4072483;2022-01-15 05:28:38.269084;2022-01-15 07:55:34.222578;1;Thailand;2;PASS;PASS;PASS;PASS;309400.0
12001;2022-01-15 08:20:03.006236;2022-01-15 09:16:28.014693;1;United Arab Emirates;3;PASS;PASS;PASS;PASS;335160.0
1746777;2022-01-15 10:30:26.196657;2022-01-15 10:44:37.529157;0;Dominican Republic;1;PASS;PASS;PASS;PASS;106800.0
6293194;2022-01-15 11:29:08.667524;2022-01-15 12:14:46.843230;1;Dominican Republic;2;PASS;PASS;PASS;PASS;232800.0
6974190;2022-01-15 11:31:07.250034;2022-01-15 13:00:53.335425;0;Russia;4;PASS;PASS;PASS;PASS;128000.0
7753852;2022-01-15 16:56:32.615787;2022-01-15 21:02:05.442834;1;Russia;2;PASS;PASS;PASS;PASS;68800.0
7583556;2022-01-16 00:07:51.635633;2022-01-16 00:30:46.215599;0;Kazakhstan;3;PASS;PASS;PASS;PASS;178500.0
1005143;2022-01-16 01:25:34.468911;2022-01-16 02:20:09.530606;1;Dominican Republic;5;PASS;PASS;PASS;PASS;594000.0
6620238;2022-01-16 01:35:10.104608;2022-01-16 05:50:44.287810;0;Thailand;1;PASS;PASS;PASS;PASS;153000.0
845538;2022-01-16 05:53:50.631001;2022-01-16 06:04:51.808209;0;Thailand;4;PASS;PASS;PASS;PASS;598400.0
4123848;2022-01-16 07:29:00.325715;2022-01-16 08:08:56.484282;1;Italy;1;PASS;PASS;PASS;PASS;150000.0
6282805;2022-01-16 09:30:47.310526;2022-01-16 10:57:23.709954;0;Dominican Republic;2;PASS;PASS;PASS;PASS;189600.0
7423626;2022-01-16 13:20:36.259561;2022-01-16 14:34:31.380705;0;United Arab Emirates;3;PASS;PASS;PASS;PASS;441000.0
4930511;2022-01-16 16:33:42.464782;2022-01-16 16:41:06.015425;1;Russia;3;PASS;PASS;PASS;PASS;92400.0
3575393;2022-01-16 16:34:35.913033;2022-01-16 18:26:31.709518;0;Dominican Republic;5;PASS;PASS;PASS;PASS;528000.0
9582074;2022-01-16 18:48:53.840115;2022-01-16 18:51:54.550512;0;United Arab Emirates;2;PASS;PASS;PASS;PASS;276360.0
4326402;2022-01-16 21:06:07.900141;2022-01-17 12:06:12.562935;0;United Arab Emirates;2;PASS;PASS;PASS;PASS;252840.0
3305463;2022-01-17 14:22:43.852315;2022-01-17 14:30:12.333809;0;Russia;4;PASS;PASS;PASS;PASS;134400.0
6224700;2022-01-17 19:59:33.314002;2022-01-17 22:06:07.522434;0;Thailand;1;PASS;PASS;PASS;PASS;127500.0
7976124;2022-01-17 22:34:24.489910;2022-01-17 22:41:55.937939;0;Dominican Republic;5;PASS;PASS;PASS;PASS;444000.0
6667222;2022-01-16 16:41:11.252967;2022-01-18 05:13:55.449010;0;Thailand;4;PASS;PASS;PASS;PASS;537200.0
6022849;2022-01-18 08:48:09.938766;2022-01-18 11:28:14.007415;1;Italy;3;PASS;PASS;PASS;PASS;328500.0
1136740;2022-01-18 15:26:21.582863;2022-01-19 00:09:18.632437;0;United Arab Emirates;5;PASS;PASS;PASS;PASS;588000.0
5314951;2022-01-19 07:14:10.703544;2022-01-19 12:21:39.487778;0;Kazakhstan;4;PASS;PASS;PASS;PASS;274400.0
3947995;2022-01-19 17:33:39.946456;2022-01-19 17:44:20.002048;1;Thailand;5;PASS;PASS;PASS;PASS;807500.0
4488172;2022-01-19 19:25:55.465621;2022-01-19 19:50:10.770278;0;Italy;4;PASS;PASS;PASS;PASS;600000.0
2646698;2022-01-20 01:12:17.033683;2022-01-20 02:29:35.008619;0;Russia;5;PASS;PASS;PASS;PASS;168000.0
1163509;2022-01-20 03:39:06.886687;2022-01-20 04:08:50.067756;0;Italy;5;PASS;PASS;PASS;PASS;660000.0
8633354;2022-01-20 07:36:50.155639;2022-01-20 12:18:00.131917;1;Italy;3;PASS;PASS;PASS;PASS;427500.0
4160504;2022-01-20 13:45:06.226086;2022-01-20 16:02:49.097262;0;Dominican Republic;3;PASS;PASS;PASS;PASS;306000.0
8619419;2022-01-20 20:03:11.416132;2022-01-20 22:02:50.857067;1;Russia;1;PASS;PASS;PASS;PASS;32400.0
3076144;2022-01-12 22:59:12.031606;2022-01-21 06:35:45.022255;1;Kazakhstan;1;PASS;PASS;PASS;PASS;70000.0
2627360;2022-01-21 12:51:08.365487;2022-01-21 14:03:19.659575;0;Kazakhstan;1;PASS;PASS;PASS;PASS;58800.0
3456785;2022-01-21 10:41:04.023178;2022-01-21 16:44:00.762203;1;Italy;2;PASS;PASS;PASS;PASS;225000.0
361499;2022-01-21 18:08:17.430668;2022-01-21 19:22:54.249128;1;United Arab Emirates;5;PASS;PASS;PASS;PASS;727650.0
5839666;2022-01-21 19:26:56.092606;2022-01-21 20:16:18.024638;0;Kazakhstan;2;PASS;PASS;PASS;PASS;102200.0
1792869;2022-01-21 21:06:36.733326;2022-01-21 21:22:28.610389;0;Russia;3;PASS;PASS;PASS;PASS;112800.0
4472749;2022-01-21 21:26:46.766071;2022-01-21 22:08:56.325386;0;Kazakhstan;2;PASS;PASS;PASS;PASS;134400.0
8153702;2022-01-22 04:04:58.042883;2022-01-22 04:49:40.939544;0;United Arab Emirates;4;PASS;PASS;PASS;PASS;499800.0
8260945;2022-01-22 03:04:52.659637;2022-01-22 06:11:22.980692;0;Russia;5;PASS;PASS;PASS;PASS;160000.0
5367460;2022-01-18 05:17:12.209946;2022-01-22 14:47:26.253778;1;Dominican Republic;2;PASS;PASS;PASS;PASS;201600.0
9751130;2022-01-22 22:25:56.441003;2022-01-22 23:29:18.350955;0;Kazakhstan;2;PASS;PASS;PASS;PASS;131600.0
7551651;2022-01-22 21:13:33.345783;2022-01-23 02:35:25.184620;1;Russia;3;PASS;PASS;PASS;PASS;87600.0
243706;2022-01-23 04:33:22.095896;2022-01-23 06:21:34.257072;1;Italy;1;PASS;PASS;PASS;PASS;148500.0
1931067;2022-01-23 09:04:52.799484;2022-01-23 09:05:34.547012;1;Kazakhstan;1;PASS;PASS;PASS;PASS;62300.0
2642398;2022-01-23 09:20:06.793050;2022-01-23 10:09:11.671299;0;United Arab Emirates;2;PASS;PASS;PASS;PASS;232260.0
9233227;2022-01-23 00:24:17.674017;2022-01-23 13:00:03.222490;1;Thailand;2;PASS;PASS;PASS;PASS;299200.0
1408455;2022-01-23 16:01:49.077909;2022-01-23 17:34:35.977129;1;Italy;4;PASS;PASS;PASS;PASS;438000.0
3778459;2022-01-23 18:24:51.831779;2022-01-23 19:08:39.085480;0;Italy;4;PASS;PASS;PASS;PASS;576000.0
5585079;2022-01-23 17:57:07.038247;2022-01-23 20:11:47.139952;1;Kazakhstan;3;PASS;PASS;PASS;PASS;189000.0
2005848;2022-01-23 18:07:00.947986;2022-01-23 21:48:41.401402;0;Italy;4;PASS;PASS;PASS;PASS;522000.0
476276;2022-01-23 22:48:58.006994;2022-01-24 00:59:30.386864;1;Dominican Republic;4;PASS;PASS;PASS;PASS;480000.0
9507492;2022-01-24 02:03:53.463507;2022-01-24 02:23:17.984624;1;Thailand;4;PASS;PASS;PASS;PASS;639200.0
848493;2022-01-23 19:15:29.827802;2022-01-24 05:25:26.024882;0;Kazakhstan;5;PASS;PASS;PASS;PASS;287000.0
5100131;2022-01-24 05:32:10.686314;2022-01-24 06:43:00.834247;1;Kazakhstan;5;PASS;PASS;PASS;PASS;311500.0
8665680;2022-01-24 08:37:34.531001;2022-01-24 09:01:54.668137;0;Russia;1;PASS;PASS;PASS;PASS;39200.0
5551700;2022-01-23 22:46:44.578252;2022-01-24 14:04:09.055224;1;Dominican Republic;1;PASS;PASS;PASS;PASS;120000.0
2299351;2022-01-24 20:47:54.371148;2022-01-24 20:56:27.581896;1;Italy;2;PASS;PASS;PASS;PASS;255000.0
8268635;2022-01-24 21:03:44.002229;2022-01-24 22:09:49.942422;1;Kazakhstan;1;PASS;PASS;PASS;PASS;67900.0
1463177;2022-01-25 01:42:15.320004;2022-01-25 02:25:14.612123;0;Dominican Republic;5;PASS;PASS;PASS;PASS;462000.0
8493444;2022-01-25 05:43:02.158942;2022-01-25 07:36:40.790007;0;United Arab Emirates;2;PASS;PASS;PASS;PASS;267540.0
6321284;2022-01-25 07:50:33.495369;2022-01-25 08:00:17.738865;1;United Arab Emirates;3;PASS;PASS;PASS;PASS;348390.0
6243031;2022-01-25 10:51:23.176728;2022-01-25 11:06:12.088660;0;Kazakhstan;5;PASS;PASS;PASS;PASS;332500.0
8524040;2022-01-25 14:20:22.589024;2022-01-25 16:52:15.698955;1;United Arab Emirates;2;PASS;PASS;PASS;PASS;249900.0
3999459;2022-01-25 17:51:19.502512;2022-01-25 19:41:17.074176;0;Thailand;2;PASS;PASS;PASS;PASS;251600.0
8684900;2022-01-25 20:14:07.281772;2022-01-25 21:06:29.709479;1;Thailand;5;PASS;PASS;PASS;PASS;807500.0
1548643;2022-01-26 02:43:35.068785;2022-01-26 03:07:54.577825;1;United Arab Emirates;4;PASS;PASS;PASS;PASS;482160.0
3280467;2022-01-26 01:45:11.273469;2022-01-26 06:30:40.117924;0;Dominican Republic;5;PASS;PASS;PASS;PASS;588000.0
8178471;2022-01-26 10:16:11.858280;2022-01-26 11:22:08.263597;1;Italy;1;PASS;PASS;PASS;PASS;126000.0
9841959;2022-01-26 10:28:06.912095;2022-01-26 12:42:47.289263;0;Russia;2;PASS;PASS;PASS;PASS;72800.0
5890859;2022-01-26 13:10:29.308441;2022-01-26 14:47:52.170170;0;Thailand;5;PASS;PASS;PASS;PASS;816000.0
7721852;2022-01-26 14:51:24.717388;2022-01-26 15:02:46.408984;1;Thailand;4;PASS;PASS;PASS;PASS;516800.0
2018751;2022-01-26 18:04:02.607268;2022-01-27 01:01:05.829468;0;United Arab Emirates;1;PASS;PASS;PASS;PASS;111720.0
6622458;2022-01-27 02:05:32.967759;2022-01-27 02:47:49.931330;1;Kazakhstan;4;PASS;PASS;PASS;PASS;229600.0
9935555;2022-01-27 02:58:42.146621;2022-01-27 03:11:21.673101;1;United Arab Emirates;5;PASS;PASS;PASS;PASS;632100.0
5316293;2022-01-26 18:10:16.497494;2022-01-27 07:19:05.431623;0;United Arab Emirates;5;PASS;PASS;PASS;PASS;595350.0
345474;2022-01-27 08:56:53.970269;2022-01-27 15:31:17.201072;0;Dominican Republic;3;PASS;PASS;PASS;PASS;266400.0
1955992;2022-01-27 19:28:34.105482;2022-01-27 19:30:54.284096;1;Dominican Republic;1;PASS;PASS;PASS;PASS;94800.0
3475311;2022-01-27 19:51:11.485053;2022-01-27 20:18:19.607449;1;United Arab Emirates;2;PASS;PASS;PASS;PASS;226380.0
8407013;2022-01-27 20:24:09.906787;2022-01-27 22:15:18.283921;1;United Arab Emirates;3;PASS;PASS;PASS;PASS;374850.0
8420522;2022-01-28 01:37:16.355464;2022-01-28 14:24:44.036504;1;Thailand;5;PASS;PASS;PASS;PASS;646000.0
4049175;2022-01-28 15:43:23.109741;2022-01-28 16:31:54.576658;0;United Arab Emirates;1;PASS;PASS;PASS;PASS;141120.0
4699427;2022-01-28 17:15:55.752110;2022-01-29 00:38:49.033943;1;Russia;4;PASS;PASS;PASS;PASS;152000.0
2084452;2022-01-29 01:31:32.562347;2022-01-29 02:32:17.407980;1;Russia;5;PASS;PASS;PASS;PASS;176000.0
1581744;2022-01-29 02:35:10.820738;2022-01-29 02:39:14.682057;0;Thailand;3;PASS;PASS;PASS;PASS;387600.0
3179076;2022-01-29 04:58:08.177284;2022-01-29 05:23:42.533923;1;Russia;4;PASS;PASS;PASS;PASS;150400.0
1216413;2022-01-25 12:54:55.907089;2022-01-29 10:33:19.191750;1;Russia;4;PASS;PASS;PASS;PASS;120000.0
6015953;2022-01-29 14:51:25.432658;2022-01-29 15:20:30.272765;0;Russia;1;PASS;PASS;PASS;PASS;32400.0
3918600;2022-01-29 16:38:55.416235;2022-01-29 18:50:38.950648;1;Italy;4;PASS;PASS;PASS;PASS;510000.0
9984063;2022-01-29 18:52:57.517932;2022-01-29 19:01:20.808148;0;Thailand;5;PASS;PASS;PASS;PASS;688500.0
5402748;2022-01-29 20:55:31.663587;2022-01-29 21:59:49.742497;0;Thailand;1;PASS;PASS;PASS;PASS;129200.0
4535180;2022-01-29 21:18:40.931267;2022-01-29 23:10:35.901815;1;United Arab Emirates;5;PASS;PASS;PASS;PASS;536550.0
5599843;2022-01-30 01:52:07.848555;2022-01-30 02:14:16.212222;1;Russia;5;PASS;PASS;PASS;PASS;170000.0
964387;2022-01-30 01:55:22.613861;2022-01-30 03:19:31.268252;0;Russia;1;PASS;PASS;PASS;PASS;34800.0
2447225;2022-01-27 03:14:05.980420;2022-01-30 09:36:30.144587;0;Dominican Republic;4;PASS;PASS;PASS;PASS;432000.0
3776281;2022-01-30 20:25:32.259373;2022-01-30 20:31:43.595201;0;Italy;1;PASS;PASS;PASS;PASS;124500.0
2540984;2022-01-30 21:09:04.590402;2022-01-30 22:03:11.562854;0;Kazakhstan;1;PASS;PASS;PASS;PASS;68600.0
8380885;2022-01-31 01:38:02.326367;2022-01-31 08:58:34.756368;1;Kazakhstan;5;PASS;PASS;PASS;PASS;311500.0
9159986;2022-01-31 00:02:11.967604;2022-01-31 12:04:21.214476;1;Kazakhstan;4;PASS;PASS;PASS;PASS;212800.0
4315376;2022-01-30 23:52:17.152662;2022-01-31 16:51:11.244125;0;United Arab Emirates;1;PASS;PASS;PASS;PASS;133770.0
4325633;2022-01-31 18:29:12.436113;2022-01-31 18:54:02.687249;1;Italy;2;PASS;PASS;PASS;PASS;249000.0
6537702;2022-01-31 20:42:52.711424;2022-01-31 21:26:06.533158;0;Kazakhstan;4;PASS;PASS;PASS;PASS;229600.0
604374;2022-02-01 03:01:16.321407;2022-02-01 04:01:30.051875;0;Italy;1;PASS;PASS;PASS;PASS;139500.0
5189028;2022-02-01 05:05:20.726766;2022-02-01 06:27:09.762264;0;Italy;3;PASS;PASS;PASS;PASS;427500.0
9822403;2022-02-01 10:08:21.112091;2022-02-01 13:36:15.270173;1;Dominican Republic;2;PASS;PASS;PASS;PASS;237600.0
8661719;2022-02-01 13:50:44.527967;2022-02-01 15:31:23.679486;0;Russia;5;PASS;PASS;PASS;PASS;152000.0
8108060;2022-02-01 18:52:26.081167;2022-02-01 19:01:36.165917;1;Russia;4;PASS;PASS;PASS;PASS;137600.0
2498293;2022-02-01 21:09:51.043926;2022-02-01 21:10:06.937898;0;Russia;4;PASS;PASS;PASS;PASS;134400.0
487467;2022-02-02 09:08:50.868617;2022-02-02 09:30:52.904448;0;Thailand;3;PASS;PASS;PASS;PASS;392700.0
4459836;2022-02-02 06:34:53.000115;2022-02-02 13:24:55.128049;1;Kazakhstan;2;PASS;PASS;PASS;PASS;123200.0
7967388;2022-02-02 13:54:27.089930;2022-02-02 15:26:09.044633;0;United Arab Emirates;2;PASS;PASS;PASS;PASS;249900.0
6114809;2022-02-02 15:50:17.859027;2022-02-02 16:57:38.365214;1;Dominican Republic;5;PASS;PASS;PASS;PASS;444000.0
3647135;2022-02-02 19:16:23.517466;2022-02-02 19:43:24.117852;0;United Arab Emirates;5;PASS;PASS;PASS;PASS;646800.0
3012803;2022-02-02 23:36:26.785770;2022-02-02 23:42:55.949672;0;Kazakhstan;1;PASS;PASS;PASS;PASS;51800.0
5341855;2022-02-03 00:44:57.182465;2022-02-03 03:37:01.171525;0;United Arab Emirates;1;PASS;PASS;PASS;PASS;130830.0
299611;2022-02-03 07:26:03.568799;2022-02-03 08:30:17.648703;1;United Arab Emirates;1;PASS;PASS;PASS;PASS;119070.0
4441366;2022-02-03 09:57:05.621698;2022-02-03 11:36:56.432333;0;United Arab Emirates;3;PASS;PASS;PASS;PASS;396900.0
5841750;2022-02-03 16:19:02.405332;2022-02-03 16:46:53.122337;0;Kazakhstan;5;PASS;PASS;PASS;PASS;311500.0
8341239;2022-02-03 20:01:18.235814;2022-02-04 04:58:09.408606;1;United Arab Emirates;2;PASS;PASS;PASS;PASS;255780.0
7152798;2022-02-02 01:57:40.808751;2022-02-04 10:39:08.539501;1;Thailand;4;PASS;PASS;PASS;PASS;537200.0
803827;2022-02-04 11:20:50.039615;2022-02-04 13:14:11.972422;1;Kazakhstan;1;PASS;PASS;PASS;PASS;59500.0
8083608;2022-02-04 10:58:41.904847;2022-02-04 15:50:45.608400;0;Italy;4;PASS;PASS;PASS;PASS;438000.0
